date,currency,rate_units_per_usd
2024-12-01,UGX,3620.1590576171875
2025-01-01,UGX,3645.334406072443
2025-02-01,UGX,3638.3344604492186
2025-03-01,UGX,3623.974167596726
2025-04-01,UGX,3630.3614135742187
2025-05-01,UGX,3615.101140802557
2025-06-01,UGX,3568.854538690476
2025-07-01,UGX,3547.951554008152
2025-08-01,UGX,3522.3297409784227
2025-09-01,UGX,3472.1339777166195
2025-10-01,UGX,3427.0024732506795
2025-11-01,UGX,3471.769775390625
2014-01-01,USD,1.0
2014-02-01,USD,1.0
2014-03-01,USD,1.0
2014-04-01,USD,1.0
2014-05-01,USD,1.0
2014-06-01,USD,1.0
2014-07-01,USD,1.0
2014-08-01,USD,1.0
2014-09-01,USD,1.0
2014-10-01,USD,1.0
2014-11-01,USD,1.0
